Column1,Column2,Column3
Question 46,Estimated task time (ns),6140393117.0
Question 47,Estimated task time (ns),9234720512.0
Question 48,Estimated task time (ns),12961290672.0
Question 49,Estimated task time (ns),9822462733.0
Question 50,Estimated task time (ns),8412212112.0
Number Questions Asked,50,
Number Questions Correctly Answered,49,
Aerage Response Time Per Question (ns),8912356782,
Question 1,Estimated task time (ns),12242348340.0
Question 2,Estimated task time (ns),6572274235.0
Question 3,Estimated task time (ns),21418798880.0
Question 4,Estimated task time (ns),5649683180.0
Question 5,Estimated task time (ns),19819021975.0
Question 6,Estimated task time (ns),2395365485.0
Question 7,Estimated task time (ns),7073482130.0
Question 8,Estimated task time (ns),5647114432.0
Question 9,Estimated task time (ns),7172628037.0
Question 10,Estimated task time (ns),6305654268.0
Question 11,Estimated task time (ns),3591664091.0
Question 12,Estimated task time (ns),5078180095.0
Question 13,Estimated task time (ns),7334437480.0
Question 14,Estimated task time (ns),2701744490.0
Question 15,Estimated task time (ns),6653582873.0
Question 16,Estimated task time (ns),6605082513.0
Question 17,Estimated task time (ns),8666383494.0
Question 18,Estimated task time (ns),4767033485.0
Question 19,Estimated task time (ns),7598883082.0
Question 20,Estimated task time (ns),3681718943.0
Question 21,Estimated task time (ns),6767776523.0
Question 22,Estimated task time (ns),6174615287.0
Question 23,Estimated task time (ns),2839743797.0
Question 24,Estimated task time (ns),6630805113.0
Question 25,Estimated task time (ns),6129125248.0
Question 26,Estimated task time (ns),8233796643.0
Question 27,Estimated task time (ns),7847216820.0
Question 28,Estimated task time (ns),11897516310.0
Question 29,Estimated task time (ns),3916243197.0
Question 30,Estimated task time (ns),14664920750.0
Question 31,Estimated task time (ns),11898182670.0
Question 32,Estimated task time (ns),7014339643.0
Question 33,Estimated task time (ns),1459178825.0
Question 34,Estimated task time (ns),3890430472.0
Question 35,Estimated task time (ns),11992211408.0
Question 36,Estimated task time (ns),6978672725.0
Question 37,Estimated task time (ns),4656991126.0
Question 38,Estimated task time (ns),2452915375.0
Question 39,Estimated task time (ns),4615944693.0
Question 40,Estimated task time (ns),5691452062.0
Question 41,Estimated task time (ns),4661474956.0
Question 42,Estimated task time (ns),3578989878.0
Question 43,Estimated task time (ns),2792466485.0
Question 44,Estimated task time (ns),9882723943.0
Question 45,Estimated task time (ns),6752471569.0
Question 46,Estimated task time (ns),2715226061.0
Question 47,Estimated task time (ns),5041422656.0
Question 48,Estimated task time (ns),8103434430.0
Question 49,Estimated task time (ns),8578867717.0
Question 50,Estimated task time (ns),5386155322.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),6884407864,
Question 1,Estimated task time (ns),3687955600.0
Question 2,Estimated task time (ns),7766901300.0
Question 3,Estimated task time (ns),5659492700.0
Question 4,Estimated task time (ns),20008244100.0
Question 5,Estimated task time (ns),10864717200.0
Question 6,Estimated task time (ns),10359830300.0
Question 7,Estimated task time (ns),10127465800.0
Question 8,Estimated task time (ns),8384277100.0
Question 9,Estimated task time (ns),5639130100.0
Question 10,Estimated task time (ns),1874949200.0
Question 11,Estimated task time (ns),5516998900.0
Question 12,Estimated task time (ns),10919551500.0
Question 13,Estimated task time (ns),4513669200.0
Question 14,Estimated task time (ns),3660209000.0
Question 15,Estimated task time (ns),7530534300.0
Question 16,Estimated task time (ns),3142431200.0
Question 17,Estimated task time (ns),8545727500.0
Question 18,Estimated task time (ns),2968755400.0
Question 19,Estimated task time (ns),3726065800.0
Question 20,Estimated task time (ns),1904180300.0
Question 21,Estimated task time (ns),2231205500.0
Question 22,Estimated task time (ns),4925529900.0
Question 23,Estimated task time (ns),6841699500.0
Question 24,Estimated task time (ns),2306061200.0
Question 25,Estimated task time (ns),3771441100.0
Question 26,Estimated task time (ns),10014710500.0
Question 27,Estimated task time (ns),2728051500.0
Question 28,Estimated task time (ns),4136452000.0
Question 29,Estimated task time (ns),3408202000.0
Question 30,Estimated task time (ns),9156257200.0
Question 31,Estimated task time (ns),8151631400.0
Question 32,Estimated task time (ns),8947876600.0
Question 33,Estimated task time (ns),3838049700.0
Question 34,Estimated task time (ns),12600018200.0
Question 35,Estimated task time (ns),4085122900.0
Question 36,Estimated task time (ns),4666515500.0
Question 37,Estimated task time (ns),4271684400.0
Question 38,Estimated task time (ns),2657150900.0
Question 39,Estimated task time (ns),2185797400.0
Question 40,Estimated task time (ns),6898526900.0
Question 41,Estimated task time (ns),3725452400.0
Question 42,Estimated task time (ns),7402449800.0
Question 43,Estimated task time (ns),5862612100.0
Question 44,Estimated task time (ns),5606013500.0
Question 45,Estimated task time (ns),7004892600.0
Question 46,Estimated task time (ns),2922650100.0
Question 47,Estimated task time (ns),5892967200.0
Question 48,Estimated task time (ns),3001987500.0
Question 49,Estimated task time (ns),6765914900.0
Question 50,Estimated task time (ns),2255643100.0
Number Questions Asked,50,
Number Questions Correctly Answered,47,
Aerage Response Time Per Question (ns),5901273080,
Question 1,Estimated task time (ns),11290769863.0
Question 2,Estimated task time (ns),3150061030.0
Question 3,Estimated task time (ns),12691121602.0
Question 4,Estimated task time (ns),2581839402.0
Question 5,Estimated task time (ns),6866512750.0
Question 6,Estimated task time (ns),6886843336.0
Question 7,Estimated task time (ns),12062392426.0
Question 8,Estimated task time (ns),13803711503.0
Question 9,Estimated task time (ns),5430470342.0
Question 10,Estimated task time (ns),22685308934.0
Question 11,Estimated task time (ns),7890602444.0
Question 12,Estimated task time (ns),3850604299.0
Question 13,Estimated task time (ns),3111647305.0
Question 14,Estimated task time (ns),7637865667.0
Question 15,Estimated task time (ns),2727851285.0
Question 16,Estimated task time (ns),20647777224.0
Question 17,Estimated task time (ns),5472216506.0
Question 18,Estimated task time (ns),6251750400.0
Question 19,Estimated task time (ns),7065043294.0
Question 20,Estimated task time (ns),3056859111.0
Question 21,Estimated task time (ns),7258225621.0
Question 22,Estimated task time (ns),3729788235.0
Question 23,Estimated task time (ns),8986493709.0
Question 24,Estimated task time (ns),5490099061.0
Question 25,Estimated task time (ns),9921015230.0
Question 26,Estimated task time (ns),3757411734.0
Question 27,Estimated task time (ns),6717307604.0
Question 28,Estimated task time (ns),8666270832.0
Question 29,Estimated task time (ns),3494687929.0
Question 30,Estimated task time (ns),3850726406.0
Question 31,Estimated task time (ns),3414264766.0
Question 32,Estimated task time (ns),6037331859.0
Question 33,Estimated task time (ns),4093780494.0
Question 34,Estimated task time (ns),3668456729.0
Question 35,Estimated task time (ns),9292628647.0
Question 36,Estimated task time (ns),4276719965.0
Question 37,Estimated task time (ns),2951699337.0
Question 38,Estimated task time (ns),7723481402.0
Question 39,Estimated task time (ns),4976838706.0
Question 40,Estimated task time (ns),5880421547.0
Question 41,Estimated task time (ns),4559499929.0
Question 42,Estimated task time (ns),9671700529.0
Question 43,Estimated task time (ns),3681670586.0
Question 44,Estimated task time (ns),2207604841.0
Question 45,Estimated task time (ns),7267875573.0
Question 46,Estimated task time (ns),6272220079.0
Question 47,Estimated task time (ns),8339596772.0
Question 48,Estimated task time (ns),6588322137.0
Question 49,Estimated task time (ns),3871130005.0
Question 50,Estimated task time (ns),7308057280.0
Number Questions Asked,50,
Number Questions Correctly Answered,47,
Aerage Response Time Per Question (ns),6782331525,
Question 1,Estimated task time (ns),9254873300.0
Question 2,Estimated task time (ns),8363789300.0
Question 3,Estimated task time (ns),5062031500.0
Question 4,Estimated task time (ns),5115230100.0
Question 5,Estimated task time (ns),10475413600.0
Question 6,Estimated task time (ns),4921076100.0
Question 7,Estimated task time (ns),13480885700.0
Question 8,Estimated task time (ns),12887203200.0
Question 9,Estimated task time (ns),3925714700.0
Question 10,Estimated task time (ns),24306447700.0
Question 11,Estimated task time (ns),6156534500.0
Question 12,Estimated task time (ns),2472363800.0
Question 13,Estimated task time (ns),1978299300.0
Question 14,Estimated task time (ns),6749435000.0
Question 15,Estimated task time (ns),4030733100.0
Question 16,Estimated task time (ns),13075435000.0
Question 17,Estimated task time (ns),9145868500.0
Question 18,Estimated task time (ns),5877752600.0
Question 19,Estimated task time (ns),6211333200.0
Question 20,Estimated task time (ns),6836730300.0
Question 21,Estimated task time (ns),10512762800.0
Question 22,Estimated task time (ns),6207212500.0
Question 23,Estimated task time (ns),2649937000.0
Question 24,Estimated task time (ns),7862218000.0
Question 25,Estimated task time (ns),3835964100.0
Question 26,Estimated task time (ns),8529864100.0
Question 27,Estimated task time (ns),2054736100.0
Question 28,Estimated task time (ns),17022632600.0
Question 29,Estimated task time (ns),5394316200.0
Question 30,Estimated task time (ns),3268717400.0
Question 31,Estimated task time (ns),9285926600.0
Question 32,Estimated task time (ns),4290510900.0
Question 33,Estimated task time (ns),2161031500.0
Question 34,Estimated task time (ns),12643840000.0
Question 35,Estimated task time (ns),3511794500.0
Question 36,Estimated task time (ns),3633907600.0
Question 37,Estimated task time (ns),4751963700.0
Question 38,Estimated task time (ns),10209968500.0
Question 39,Estimated task time (ns),5627149500.0
Question 40,Estimated task time (ns),2419966700.0
Question 41,Estimated task time (ns),4015140000.0
Question 42,Estimated task time (ns),2980034400.0
Question 43,Estimated task time (ns),5063009800.0
Question 44,Estimated task time (ns),10410187700.0
Question 45,Estimated task time (ns),5215999200.0
Question 46,Estimated task time (ns),1704159200.0
Question 47,Estimated task time (ns),7074624600.0
Question 48,Estimated task time (ns),4907416200.0
Question 49,Estimated task time (ns),11930208400.0
Question 50,Estimated task time (ns),10918488800.0
Number Questions Asked,50,
Number Questions Correctly Answered,47,
Aerage Response Time Per Question (ns),7008416782,
Question 1,Estimated task time (ns),9521040897.0
Question 2,Estimated task time (ns),2689236167.0
Question 3,Estimated task time (ns),5586144569.0
Question 4,Estimated task time (ns),7789643983.0
Question 5,Estimated task time (ns),4916837499.0
Question 6,Estimated task time (ns),5530904482.0
Question 7,Estimated task time (ns),6324564985.0
Question 8,Estimated task time (ns),4493400955.0
Question 9,Estimated task time (ns),6964418683.0
Question 10,Estimated task time (ns),2039944705.0
Question 11,Estimated task time (ns),3974492143.0
Question 12,Estimated task time (ns),4560069463.0
Question 13,Estimated task time (ns),6266620045.0
Question 14,Estimated task time (ns),5057635125.0
Question 15,Estimated task time (ns),3756528385.0
Question 16,Estimated task time (ns),9426864982.0
Question 17,Estimated task time (ns),5678586015.0
Question 18,Estimated task time (ns),4998628208.0
Question 19,Estimated task time (ns),5890053697.0
Question 20,Estimated task time (ns),3566777442.0
Question 21,Estimated task time (ns),2731064405.0
Question 22,Estimated task time (ns),5528694325.0
Question 23,Estimated task time (ns),7646193243.0
Question 24,Estimated task time (ns),2432780830.0
Question 25,Estimated task time (ns),5930956329.0
Question 26,Estimated task time (ns),4837812073.0
Question 27,Estimated task time (ns),7004278840.0
Question 28,Estimated task time (ns),4114603665.0
Question 29,Estimated task time (ns),5444826458.0
Question 30,Estimated task time (ns),6133907177.0
Question 31,Estimated task time (ns),5410047828.0
Question 32,Estimated task time (ns),6893437303.0
Question 33,Estimated task time (ns),4286223898.0
Question 34,Estimated task time (ns),4067072395.0
Question 35,Estimated task time (ns),2341982747.0
Question 36,Estimated task time (ns),4669100440.0
Question 37,Estimated task time (ns),2460839833.0
Question 38,Estimated task time (ns),7081916080.0
Question 39,Estimated task time (ns),6864958768.0
Question 40,Estimated task time (ns),2137590300.0
Question 41,Estimated task time (ns),6507268263.0
Question 42,Estimated task time (ns),4318625145.0
Question 43,Estimated task time (ns),6160625377.0
Question 44,Estimated task time (ns),5612614255.0
Question 45,Estimated task time (ns),5211394532.0
Question 46,Estimated task time (ns),6123058740.0
Question 47,Estimated task time (ns),6051004365.0
Question 48,Estimated task time (ns),5713043735.0
Question 49,Estimated task time (ns),3562169893.0
Question 50,Estimated task time (ns),14283881810.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),5411887309,
Question 1,Estimated task time (ns),7066720000.0
Question 2,Estimated task time (ns),4117539200.0
Question 3,Estimated task time (ns),5113436500.0
Question 4,Estimated task time (ns),3062621200.0
Question 5,Estimated task time (ns),12738895200.0
Question 6,Estimated task time (ns),6676689000.0
Question 7,Estimated task time (ns),4567751300.0
Question 8,Estimated task time (ns),6266638300.0
Question 9,Estimated task time (ns),5440651900.0
Question 10,Estimated task time (ns),6861142700.0
Question 11,Estimated task time (ns),4322093600.0
Question 12,Estimated task time (ns),4218608900.0
Question 13,Estimated task time (ns),3983901900.0
Question 14,Estimated task time (ns),6929874800.0
Question 15,Estimated task time (ns),7917044500.0
Question 16,Estimated task time (ns),4002495800.0
Question 17,Estimated task time (ns),5610717600.0
Question 18,Estimated task time (ns),5713032000.0
Question 19,Estimated task time (ns),7305011400.0
Question 20,Estimated task time (ns),5879634100.0
Question 21,Estimated task time (ns),15677918200.0
Question 22,Estimated task time (ns),5634529500.0
Question 23,Estimated task time (ns),11174345900.0
Question 24,Estimated task time (ns),5901450600.0
Question 25,Estimated task time (ns),4070749500.0
Question 26,Estimated task time (ns),2992909400.0
Question 27,Estimated task time (ns),8954832900.0
Question 28,Estimated task time (ns),5700038000.0
Question 29,Estimated task time (ns),5014808500.0
Question 30,Estimated task time (ns),5659920800.0
Question 31,Estimated task time (ns),5604932000.0
Question 32,Estimated task time (ns),4706850500.0
Question 33,Estimated task time (ns),4675758400.0
Question 34,Estimated task time (ns),10961930500.0
Question 35,Estimated task time (ns),10532771600.0
Question 36,Estimated task time (ns),4439099500.0
Question 37,Estimated task time (ns),3384643100.0
Question 38,Estimated task time (ns),10372976700.0
Question 39,Estimated task time (ns),8352861600.0
Question 40,Estimated task time (ns),7752932100.0
Question 41,Estimated task time (ns),37954009500.0
Question 42,Estimated task time (ns),42437932300.0
Question 43,Estimated task time (ns),15028710900.0
Question 44,Estimated task time (ns),29421890200.0
Question 45,Estimated task time (ns),65560904000.0
Question 46,Estimated task time (ns),8120501000.0
Question 47,Estimated task time (ns),8328685400.0
Question 48,Estimated task time (ns),4888878100.0
Question 49,Estimated task time (ns),5855877500.0
Question 50,Estimated task time (ns),7580769500.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),9690778352,
Question 1,Estimated task time (ns),7620643500.0
Question 2,Estimated task time (ns),4614512400.0
Question 3,Estimated task time (ns),7165915700.0
Question 4,Estimated task time (ns),3950184600.0
Question 5,Estimated task time (ns),2181742400.0
Question 6,Estimated task time (ns),20306472900.0
Question 7,Estimated task time (ns),8902667600.0
Question 8,Estimated task time (ns),4829547400.0
Question 9,Estimated task time (ns),5191604000.0
Question 10,Estimated task time (ns),13272025700.0
Question 11,Estimated task time (ns),6687787600.0
Question 12,Estimated task time (ns),12659347100.0
Question 13,Estimated task time (ns),3515307100.0
Question 14,Estimated task time (ns),2809297000.0
Question 15,Estimated task time (ns),11522776500.0
Question 16,Estimated task time (ns),8321670400.0
Question 17,Estimated task time (ns),4578262000.0
Question 18,Estimated task time (ns),4033373600.0
Question 19,Estimated task time (ns),3977530400.0
Question 20,Estimated task time (ns),2117306000.0
Question 21,Estimated task time (ns),1847748800.0
Question 22,Estimated task time (ns),4125681900.0
Question 23,Estimated task time (ns),4769927800.0
Question 24,Estimated task time (ns),6368201000.0
Question 25,Estimated task time (ns),7648696000.0
Question 26,Estimated task time (ns),3595594100.0
Question 27,Estimated task time (ns),8508630000.0
Question 28,Estimated task time (ns),16594455100.0
Question 29,Estimated task time (ns),11781982100.0
Question 30,Estimated task time (ns),7461517500.0
Question 31,Estimated task time (ns),4396005400.0
Question 32,Estimated task time (ns),2379044300.0
Question 33,Estimated task time (ns),7952080900.0
Question 34,Estimated task time (ns),18243254600.0
Question 35,Estimated task time (ns),11501714800.0
Question 36,Estimated task time (ns),11974634800.0
Question 37,Estimated task time (ns),7431902700.0
Question 38,Estimated task time (ns),11142615700.0
Question 39,Estimated task time (ns),3107598000.0
Question 40,Estimated task time (ns),4813316600.0
Question 41,Estimated task time (ns),4600402800.0
Question 42,Estimated task time (ns),6407150400.0
Question 43,Estimated task time (ns),4211286700.0
Question 44,Estimated task time (ns),6584824900.0
Question 45,Estimated task time (ns),10186115800.0
Question 46,Estimated task time (ns),2956058700.0
Question 47,Estimated task time (ns),1992065200.0
Question 48,Estimated task time (ns),10950938200.0
Question 49,Estimated task time (ns),14956394300.0
Question 50,Estimated task time (ns),2093121500.0
Number Questions Asked,50,
Number Questions Correctly Answered,49,
Aerage Response Time Per Question (ns),7176818690,
Question 1,Estimated task time (ns),3927013476.0
Question 2,Estimated task time (ns),4519776051.0
Question 3,Estimated task time (ns),19239475135.0
Question 4,Estimated task time (ns),8728214986.0
Question 5,Estimated task time (ns),11448008952.0
Question 6,Estimated task time (ns),11102864339.0
Question 7,Estimated task time (ns),6712540790.0
Question 8,Estimated task time (ns),7328265629.0
Question 9,Estimated task time (ns),6519336133.0
Question 10,Estimated task time (ns),12280228872.0
Question 11,Estimated task time (ns),9359780169.0
Question 12,Estimated task time (ns),7816235271.0
Question 13,Estimated task time (ns),11975028040.0
Question 14,Estimated task time (ns),15703977151.0
Question 15,Estimated task time (ns),6175655835.0
Question 16,Estimated task time (ns),6095456410.0
Question 17,Estimated task time (ns),6536098883.0
Question 18,Estimated task time (ns),7520009567.0
Question 19,Estimated task time (ns),4502552639.0
Question 20,Estimated task time (ns),5344896961.0
Question 21,Estimated task time (ns),4303052512.0
Question 22,Estimated task time (ns),4440557732.0
Question 23,Estimated task time (ns),5807925466.0
Question 24,Estimated task time (ns),3918754608.0
Question 25,Estimated task time (ns),6831741073.0
Question 26,Estimated task time (ns),8961429334.0
Question 27,Estimated task time (ns),5735483810.0
Question 28,Estimated task time (ns),3863797420.0
Question 29,Estimated task time (ns),5792049247.0
Question 30,Estimated task time (ns),3351902810.0
Question 31,Estimated task time (ns),5143614266.0
Question 32,Estimated task time (ns),8639761327.0
Question 33,Estimated task time (ns),10551131000.0
Question 34,Estimated task time (ns),13176067513.0
Question 35,Estimated task time (ns),17832315641.0
Question 36,Estimated task time (ns),5664198754.0
Question 37,Estimated task time (ns),7679996104.0
Question 38,Estimated task time (ns),8191867733.0
Question 39,Estimated task time (ns),6311718774.0
Question 40,Estimated task time (ns),9551513049.0
Question 41,Estimated task time (ns),8591802166.0
Question 42,Estimated task time (ns),7311931653.0
Question 43,Estimated task time (ns),7823963854.0
Question 44,Estimated task time (ns),3159851884.0
Question 45,Estimated task time (ns),6648298547.0
Question 46,Estimated task time (ns),2357965618.0
Question 47,Estimated task time (ns),2671352118.0
Question 48,Estimated task time (ns),8169721781.0
Question 49,Estimated task time (ns),7583702390.0
Question 50,Estimated task time (ns),7256271710.0
Number Questions Asked,50,
Number Questions Correctly Answered,48,
Aerage Response Time Per Question (ns),7603183103,
Question 1,Estimated task time (ns),2449063700.0
Question 2,Estimated task time (ns),1783285700.0
Question 3,Estimated task time (ns),1325291000.0
Question 4,Estimated task time (ns),1375710000.0
Question 5,Estimated task time (ns),1499588100.0
Question 6,Estimated task time (ns),1091888700.0
Question 7,Estimated task time (ns),1988539900.0
Question 8,Estimated task time (ns),2055979700.0
Question 9,Estimated task time (ns),2325169500.0
Question 10,Estimated task time (ns),1751562400.0
Question 11,Estimated task time (ns),1795524700.0
Question 12,Estimated task time (ns),1797279700.0
Question 13,Estimated task time (ns),1720158400.0
Question 14,Estimated task time (ns),2468408100.0
Question 15,Estimated task time (ns),2842733500.0
Question 16,Estimated task time (ns),1679786900.0
Question 17,Estimated task time (ns),1741316500.0
Question 18,Estimated task time (ns),2238526900.0
Question 19,Estimated task time (ns),1436415200.0
Question 20,Estimated task time (ns),2296393700.0
Question 21,Estimated task time (ns),2680564900.0
Question 22,Estimated task time (ns),3251602900.0
Question 23,Estimated task time (ns),2161518600.0
Question 24,Estimated task time (ns),1357346600.0
Question 25,Estimated task time (ns),3831770400.0
Question 26,Estimated task time (ns),2475306600.0
Question 27,Estimated task time (ns),2769534000.0
Question 28,Estimated task time (ns),2685117000.0
Question 29,Estimated task time (ns),2873844200.0
Question 30,Estimated task time (ns),2682947700.0
Question 31,Estimated task time (ns),1662872400.0
Question 32,Estimated task time (ns),1838584800.0
Question 33,Estimated task time (ns),1548300500.0
Question 34,Estimated task time (ns),2045216300.0
Question 35,Estimated task time (ns),1620053000.0
Question 36,Estimated task time (ns),1598853600.0
Question 37,Estimated task time (ns),3871305200.0
Question 38,Estimated task time (ns),2431510600.0
Question 39,Estimated task time (ns),2745730700.0
Question 40,Estimated task time (ns),2373867400.0
Question 41,Estimated task time (ns),1684192900.0
Question 42,Estimated task time (ns),3725719300.0
Question 43,Estimated task time (ns),1786371300.0
Question 44,Estimated task time (ns),3247297300.0
Question 45,Estimated task time (ns),4122539700.0
Question 46,Estimated task time (ns),1627238600.0
Question 47,Estimated task time (ns),2547836400.0
Question 48,Estimated task time (ns),3146462000.0
Question 49,Estimated task time (ns),4305848500.0
Question 50,Estimated task time (ns),5564160700.0
Number Questions Asked,50,
Number Questions Correctly Answered,44,
Aerage Response Time Per Question (ns),2358522728,
Question 1,Estimated task time (ns),5513218200.0
Question 2,Estimated task time (ns),11327923200.0
Question 3,Estimated task time (ns),7875239700.0
Question 4,Estimated task time (ns),8224132100.0
Question 5,Estimated task time (ns),5247762900.0
Question 6,Estimated task time (ns),3996019300.0
Question 7,Estimated task time (ns),6619650100.0
Question 8,Estimated task time (ns),8354415200.0
Question 9,Estimated task time (ns),4194127800.0
Question 10,Estimated task time (ns),3971701600.0
Question 11,Estimated task time (ns),5520432400.0
Question 12,Estimated task time (ns),3464583100.0
Question 13,Estimated task time (ns),7382541100.0
Question 14,Estimated task time (ns),10031449400.0
Question 15,Estimated task time (ns),3618025200.0
Question 16,Estimated task time (ns),12072149300.0
Question 17,Estimated task time (ns),10322130000.0
Question 18,Estimated task time (ns),3752416300.0
Question 19,Estimated task time (ns),10350282300.0
Question 20,Estimated task time (ns),4798338500.0
Question 21,Estimated task time (ns),2197909700.0
Question 22,Estimated task time (ns),3983311700.0
Question 23,Estimated task time (ns),3541258600.0
Question 24,Estimated task time (ns),2763308200.0
Question 25,Estimated task time (ns),4208785700.0
Question 26,Estimated task time (ns),5916629000.0
Question 27,Estimated task time (ns),2868158400.0
Question 28,Estimated task time (ns),17348553800.0
Question 29,Estimated task time (ns),7645439400.0
Question 30,Estimated task time (ns),6944312600.0
Question 31,Estimated task time (ns),7010273800.0
Question 32,Estimated task time (ns),7338047200.0
Question 33,Estimated task time (ns),7755900900.0
Question 34,Estimated task time (ns),3041825400.0
Question 35,Estimated task time (ns),3497911700.0
Question 36,Estimated task time (ns),7494412400.0
Question 37,Estimated task time (ns),6934526400.0
Question 38,Estimated task time (ns),2345368700.0
Question 39,Estimated task time (ns),28177485200.0
Question 40,Estimated task time (ns),6459362800.0
Question 41,Estimated task time (ns),4519565100.0
Question 42,Estimated task time (ns),4677599900.0
Question 43,Estimated task time (ns),9089265900.0
Question 44,Estimated task time (ns),9370974700.0
Question 45,Estimated task time (ns),4394415900.0
Question 46,Estimated task time (ns),2605933800.0
Question 47,Estimated task time (ns),4463011100.0
Question 48,Estimated task time (ns),4509077400.0
Question 49,Estimated task time (ns),3292073200.0
Question 50,Estimated task time (ns),7100252900.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),6562629784,
Question 1,Estimated task time (ns),9437542571.0
Question 2,Estimated task time (ns),5262492183.0
Question 3,Estimated task time (ns),5106992413.0
Question 4,Estimated task time (ns),12325317167.0
Question 5,Estimated task time (ns),3815344362.0
Question 6,Estimated task time (ns),3244938855.0
Question 7,Estimated task time (ns),5958720423.0
Question 8,Estimated task time (ns),3741856309.0
Question 9,Estimated task time (ns),10122912355.0
Question 10,Estimated task time (ns),6695223855.0
Question 11,Estimated task time (ns),10190275749.0
Question 12,Estimated task time (ns),4349776489.0
Question 13,Estimated task time (ns),7344956271.0
Question 14,Estimated task time (ns),8095181462.0
Question 15,Estimated task time (ns),4598626748.0
Question 16,Estimated task time (ns),9775734183.0
Question 17,Estimated task time (ns),8622815193.0
Question 18,Estimated task time (ns),7508767628.0
Question 19,Estimated task time (ns),8210713782.0
Question 20,Estimated task time (ns),5130320775.0
Question 21,Estimated task time (ns),4548174216.0
Question 22,Estimated task time (ns),5556830183.0
Question 23,Estimated task time (ns),2542869886.0
Question 24,Estimated task time (ns),3203113198.0
Question 25,Estimated task time (ns),4754818765.0
Question 26,Estimated task time (ns),2441564246.0
Question 27,Estimated task time (ns),5260970947.0
Question 28,Estimated task time (ns),4386407836.0
Question 29,Estimated task time (ns),3968768364.0
Question 30,Estimated task time (ns),12791196365.0
Question 31,Estimated task time (ns),13576787291.0
Question 32,Estimated task time (ns),2873611136.0
Question 33,Estimated task time (ns),6981430491.0
Question 34,Estimated task time (ns),2825945421.0
Question 35,Estimated task time (ns),11244128808.0
Question 36,Estimated task time (ns),12951125575.0
Question 37,Estimated task time (ns),4184124361.0
Question 38,Estimated task time (ns),3130627793.0
Question 39,Estimated task time (ns),4596512893.0
Question 40,Estimated task time (ns),1744458661.0
Question 41,Estimated task time (ns),10277927549.0
Question 42,Estimated task time (ns),3042990877.0
Question 43,Estimated task time (ns),5945628046.0
Question 44,Estimated task time (ns),3839906969.0
Question 45,Estimated task time (ns),10273978093.0
Question 46,Estimated task time (ns),3452192547.0
Question 47,Estimated task time (ns),2088302362.0
Question 48,Estimated task time (ns),2196879577.0
Question 49,Estimated task time (ns),10300977244.0
Question 50,Estimated task time (ns),11800893493.0
Number Questions Asked,50,
Number Questions Correctly Answered,48,
Aerage Response Time Per Question (ns),6326433039,
Question 1,Estimated task time (ns),5021062500.0
Question 2,Estimated task time (ns),9229468099.0
Question 3,Estimated task time (ns),4558909899.0
Question 4,Estimated task time (ns),4685599099.0
Question 5,Estimated task time (ns),10524814300.0
Question 6,Estimated task time (ns),8923919200.0
Question 7,Estimated task time (ns),10655192599.0
Question 8,Estimated task time (ns),4341925200.0
