Column1,Column2,Column3
Aerage Response Time Per Question (ns),13854273074,
Question 1,Estimated task time (ns),6543298712.0
Question 2,Estimated task time (ns),158297560428.0
Question 3,Estimated task time (ns),42777323587.0
Question 4,Estimated task time (ns),88164776130.0
Question 5,Estimated task time (ns),36810059973.0
Question 6,Estimated task time (ns),59545511481.0
Question 7,Estimated task time (ns),39218809594.0
Question 8,Estimated task time (ns),35648376441.0
Question 9,Estimated task time (ns),51834834235.0
Question 10,Estimated task time (ns),46445354268.0
Question 11,Estimated task time (ns),53033504118.0
Question 12,Estimated task time (ns),64393958973.0
Question 13,Estimated task time (ns),43636438775.0
Question 14,Estimated task time (ns),83489374891.0
Question 15,Estimated task time (ns),2350100265.0
Question 16,Estimated task time (ns),65008545541.0
Question 17,Estimated task time (ns),124104873354.0
Question 18,Estimated task time (ns),76739210480.0
Question 19,Estimated task time (ns),81319173482.0
Question 20,Estimated task time (ns),37131794610.0
Question 21,Estimated task time (ns),85613955164.0
Question 22,Estimated task time (ns),55050259227.0
Question 23,Estimated task time (ns),106866334280.0
Question 24,Estimated task time (ns),38037369155.0
Question 25,Estimated task time (ns),34057043669.0
Question 26,Estimated task time (ns),49841023749.0
Question 27,Estimated task time (ns),20416815879.0
Question 28,Estimated task time (ns),39979587440.0
Question 29,Estimated task time (ns),85182952354.0
Question 30,Estimated task time (ns),49827042028.0
Question 31,Estimated task time (ns),43136737273.0
Question 32,Estimated task time (ns),161668054202.0
Question 33,Estimated task time (ns),53993222303.0
Question 34,Estimated task time (ns),33319466923.0
Question 35,Estimated task time (ns),61034928135.0
Question 36,Estimated task time (ns),91310520459.0
Question 37,Estimated task time (ns),25997366138.0
Question 38,Estimated task time (ns),22185768596.0
Question 39,Estimated task time (ns),36094679770.0
Question 40,Estimated task time (ns),16481133053.0
Question 41,Estimated task time (ns),104508697704.0
Question 42,Estimated task time (ns),27730981710.0
Question 43,Estimated task time (ns),27139856774.0
Question 44,Estimated task time (ns),27006873136.0
Question 45,Estimated task time (ns),28224841312.0
Question 46,Estimated task time (ns),53023504068.0
Question 47,Estimated task time (ns),53631970519.0
Question 48,Estimated task time (ns),30588424763.0
Question 49,Estimated task time (ns),47360771210.0
Question 50,Estimated task time (ns),27145552006.0
Number Questions Asked,50,
Number Questions Correctly Answered,44,
Aerage Response Time Per Question (ns),54658972246,
Question 1,Estimated task time (ns),2228069000.0
Question 2,Estimated task time (ns),84952830100.0
Question 3,Estimated task time (ns),31772056800.0
Question 4,Estimated task time (ns),2784723800.0
Question 5,Estimated task time (ns),91305093900.0
Question 6,Estimated task time (ns),16082392800.0
Question 7,Estimated task time (ns),65473189600.0
Question 8,Estimated task time (ns),41095902000.0
Question 9,Estimated task time (ns),44158902500.0
Question 10,Estimated task time (ns),50482453400.0
Question 11,Estimated task time (ns),17512625100.0
Question 12,Estimated task time (ns),64431882800.0
Question 13,Estimated task time (ns),24763215100.0
Question 14,Estimated task time (ns),19648134400.0
Question 15,Estimated task time (ns),76358385000.0
Question 16,Estimated task time (ns),8477191700.0
Question 17,Estimated task time (ns),46850511400.0
Question 18,Estimated task time (ns),26174403400.0
Question 19,Estimated task time (ns),20364198700.0
Question 20,Estimated task time (ns),35600667100.0
Question 21,Estimated task time (ns),28982012400.0
Question 22,Estimated task time (ns),59247031100.0
Question 23,Estimated task time (ns),47055309200.0
Question 24,Estimated task time (ns),52864940600.0
Question 25,Estimated task time (ns),39682961400.0
Question 26,Estimated task time (ns),26357355500.0
Question 27,Estimated task time (ns),46641490100.0
Question 28,Estimated task time (ns),29965367900.0
Question 29,Estimated task time (ns),23357240300.0
Question 30,Estimated task time (ns),32671427300.0
Question 31,Estimated task time (ns),54886029100.0
Question 32,Estimated task time (ns),23711446500.0
Question 33,Estimated task time (ns),62863376400.0
Question 34,Estimated task time (ns),57245501900.0
Question 35,Estimated task time (ns),7880643500.0
Question 36,Estimated task time (ns),59824225700.0
Question 37,Estimated task time (ns),39389087600.0
Question 38,Estimated task time (ns),23766017600.0
Question 39,Estimated task time (ns),56160371800.0
Question 40,Estimated task time (ns),31996637500.0
Question 41,Estimated task time (ns),29881621000.0
Question 42,Estimated task time (ns),1687808800.0
Question 43,Estimated task time (ns),45603747400.0
Question 44,Estimated task time (ns),28714051700.0
Question 45,Estimated task time (ns),2191869300.0
Question 46,Estimated task time (ns),27569450800.0
Question 47,Estimated task time (ns),14918219500.0
Question 48,Estimated task time (ns),26931977200.0
Question 49,Estimated task time (ns),40948849700.0
Question 50,Estimated task time (ns),17397718800.0
Number Questions Asked,50,
Number Questions Correctly Answered,38,
Aerage Response Time Per Question (ns),36218212324,
Question 1,Estimated task time (ns),43555599800.0
Question 2,Estimated task time (ns),39894910505.0
Question 3,Estimated task time (ns),43672649710.0
Question 4,Estimated task time (ns),24130177217.0
Question 5,Estimated task time (ns),27967191313.0
Question 6,Estimated task time (ns),32792368710.0
Question 7,Estimated task time (ns),29864878338.0
Question 8,Estimated task time (ns),15568589345.0
Question 9,Estimated task time (ns),24671960484.0
Question 10,Estimated task time (ns),26478349655.0
Question 11,Estimated task time (ns),34977908757.0
Question 12,Estimated task time (ns),42233618000.0
Question 13,Estimated task time (ns),36620036080.0
Question 14,Estimated task time (ns),24275925990.0
Question 15,Estimated task time (ns),32276773980.0
Question 16,Estimated task time (ns),19883107858.0
Question 17,Estimated task time (ns),13721068965.0
Question 18,Estimated task time (ns),23419907590.0
Question 19,Estimated task time (ns),3077366253.0
Question 20,Estimated task time (ns),32577279357.0
Question 21,Estimated task time (ns),14166706920.0
Question 22,Estimated task time (ns),2281423249.0
Question 23,Estimated task time (ns),28236887783.0
Question 24,Estimated task time (ns),12964787120.0
Question 25,Estimated task time (ns),50518911752.0
Question 26,Estimated task time (ns),24187924036.0
Question 27,Estimated task time (ns),28535767972.0
Question 28,Estimated task time (ns),14371314045.0
Question 29,Estimated task time (ns),15892862909.0
Question 30,Estimated task time (ns),14528314020.0
Question 31,Estimated task time (ns),27284126327.0
Question 32,Estimated task time (ns),13524574130.0
Question 33,Estimated task time (ns),35513401395.0
Question 34,Estimated task time (ns),17594565217.0
Question 35,Estimated task time (ns),15397921260.0
Question 36,Estimated task time (ns),19129976753.0
Question 37,Estimated task time (ns),19295534319.0
Question 38,Estimated task time (ns),15057163652.0
Question 39,Estimated task time (ns),16184502345.0
Question 40,Estimated task time (ns),13588707885.0
Question 41,Estimated task time (ns),19936436082.0
Question 42,Estimated task time (ns),11123546675.0
Question 43,Estimated task time (ns),17190122450.0
Question 44,Estimated task time (ns),17409678845.0
Question 45,Estimated task time (ns),16218781718.0
Question 46,Estimated task time (ns),16376852540.0
Question 47,Estimated task time (ns),31957596286.0
Question 48,Estimated task time (ns),11689936195.0
Question 49,Estimated task time (ns),10884897952.0
Question 50,Estimated task time (ns),22282653563.0
Number Questions Asked,50,
Number Questions Correctly Answered,49,
Aerage Response Time Per Question (ns),22899710866,
Question 1,Estimated task time (ns),24762899000.0
Question 2,Estimated task time (ns),24455820600.0
Question 3,Estimated task time (ns),17596158600.0
Question 4,Estimated task time (ns),16904893400.0
Question 5,Estimated task time (ns),10597481000.0
Question 6,Estimated task time (ns),14463552700.0
Question 7,Estimated task time (ns),10093438800.0
Question 8,Estimated task time (ns),9568619700.0
Question 9,Estimated task time (ns),6402223000.0
Question 10,Estimated task time (ns),7901500500.0
Question 11,Estimated task time (ns),16250753800.0
Question 12,Estimated task time (ns),16309698700.0
Question 13,Estimated task time (ns),37461119500.0
Question 14,Estimated task time (ns),14566845200.0
Question 15,Estimated task time (ns),16591038000.0
Question 16,Estimated task time (ns),13635242599.0
Question 17,Estimated task time (ns),21794046999.0
Question 18,Estimated task time (ns),12881955600.0
Question 19,Estimated task time (ns),19654175000.0
Question 20,Estimated task time (ns),14103566901.0
Question 21,Estimated task time (ns),13460730800.0
Question 22,Estimated task time (ns),8609736000.0
Question 23,Estimated task time (ns),11607941501.0
Question 24,Estimated task time (ns),12247629499.0
Question 25,Estimated task time (ns),11786700300.0
Question 26,Estimated task time (ns),11556162300.0
Question 27,Estimated task time (ns),11830625401.0
Question 28,Estimated task time (ns),9940746800.0
Question 29,Estimated task time (ns),15032163400.0
Question 30,Estimated task time (ns),9833731900.0
Question 31,Estimated task time (ns),11104701200.0
Question 32,Estimated task time (ns),10285114300.0
Question 33,Estimated task time (ns),9891332700.0
Question 34,Estimated task time (ns),8621161799.0
Question 35,Estimated task time (ns),13008952800.0
Question 36,Estimated task time (ns),12695026000.0
Question 37,Estimated task time (ns),13037768200.0
Question 38,Estimated task time (ns),16317875600.0
Question 39,Estimated task time (ns),10207345600.0
Question 40,Estimated task time (ns),13809184300.0
Question 41,Estimated task time (ns),10202806200.0
Question 42,Estimated task time (ns),9453066900.0
Question 43,Estimated task time (ns),12204590400.0
Question 44,Estimated task time (ns),11648911300.0
Question 45,Estimated task time (ns),6551415800.0
Question 46,Estimated task time (ns),12518089100.0
Question 47,Estimated task time (ns),5750095000.0
Question 48,Estimated task time (ns),9361692900.0
Question 49,Estimated task time (ns),15929199700.0
Question 50,Estimated task time (ns),8809484100.0
Number Questions Asked,50,
Number Questions Correctly Answered,50,
Aerage Response Time Per Question (ns),13266180227,
Question 1,Estimated task time (ns),178741050000.0
Question 2,Estimated task time (ns),27859217000.0
Question 3,Estimated task time (ns),3363984500.0
Question 4,Estimated task time (ns),36670732600.0
Question 5,Estimated task time (ns),5051148500.0
Question 6,Estimated task time (ns),28986584700.0
Question 7,Estimated task time (ns),35568420400.0
Question 8,Estimated task time (ns),66596617500.0
Question 9,Estimated task time (ns),57536352200.0
Question 10,Estimated task time (ns),47535161300.0
Question 11,Estimated task time (ns),37374716000.0
Question 12,Estimated task time (ns),42328078600.0
Question 13,Estimated task time (ns),19755169300.0
Question 14,Estimated task time (ns),46726558400.0
Question 15,Estimated task time (ns),53695888600.0
Question 16,Estimated task time (ns),43105930100.0
Question 17,Estimated task time (ns),42232033600.0
Question 18,Estimated task time (ns),55640986300.0
Question 19,Estimated task time (ns),165587264500.0
Question 20,Estimated task time (ns),80896580500.0
Question 21,Estimated task time (ns),52095908600.0
Question 22,Estimated task time (ns),33258158200.0
Question 23,Estimated task time (ns),38192806400.0
Question 24,Estimated task time (ns),71386690200.0
Question 25,Estimated task time (ns),90264897400.0
Question 26,Estimated task time (ns),11720986400.0
Question 27,Estimated task time (ns),66288490800.0
Question 28,Estimated task time (ns),5569367200.0
Question 29,Estimated task time (ns),76864611700.0
Question 30,Estimated task time (ns),50533621400.0
Question 31,Estimated task time (ns),18283062500.0
Question 32,Estimated task time (ns),20137089800.0
Question 33,Estimated task time (ns),58638746500.0
Question 34,Estimated task time (ns),23580949200.0
Question 35,Estimated task time (ns),43897199200.0
Question 36,Estimated task time (ns),54556873600.0
Question 37,Estimated task time (ns),17473145200.0
Question 38,Estimated task time (ns),51505237200.0
Question 39,Estimated task time (ns),21104577700.0
Question 40,Estimated task time (ns),44288275200.0
Question 41,Estimated task time (ns),49441999700.0
Question 42,Estimated task time (ns),58985031700.0
Question 43,Estimated task time (ns),51125908000.0
Question 44,Estimated task time (ns),21644273900.0
Question 45,Estimated task time (ns),42617310400.0
Question 46,Estimated task time (ns),22079069100.0
Question 47,Estimated task time (ns),59039214500.0
Question 48,Estimated task time (ns),50376368600.0
Question 49,Estimated task time (ns),75151895200.0
Question 50,Estimated task time (ns),66350344900.0
Number Questions Asked,50,
Number Questions Correctly Answered,34,
Aerage Response Time Per Question (ns),48434091700,
Question 1,Estimated task time (ns),22427548016.0
Question 2,Estimated task time (ns),19303776048.0
Question 3,Estimated task time (ns),26038444049.0
Question 4,Estimated task time (ns),36539395725.0
Question 5,Estimated task time (ns),14877277495.0
Question 6,Estimated task time (ns),57119046944.0
Question 7,Estimated task time (ns),18280245276.0
Question 8,Estimated task time (ns),27671537229.0
Question 9,Estimated task time (ns),34560324668.0
Question 10,Estimated task time (ns),37143744568.0
Question 11,Estimated task time (ns),16864920740.0
Question 12,Estimated task time (ns),43983734150.0
Question 13,Estimated task time (ns),23990632026.0
Question 14,Estimated task time (ns),35376242462.0
Question 15,Estimated task time (ns),24671263332.0
Question 16,Estimated task time (ns),12543383369.0
Question 17,Estimated task time (ns),19463972970.0
Question 18,Estimated task time (ns),33425338084.0
Question 19,Estimated task time (ns),54302826258.0
Question 20,Estimated task time (ns),22431582841.0
Question 21,Estimated task time (ns),22464477930.0
Question 22,Estimated task time (ns),38150594671.0
Question 23,Estimated task time (ns),43384709282.0
Question 24,Estimated task time (ns),26799654680.0
Question 25,Estimated task time (ns),52567858518.0
Question 26,Estimated task time (ns),30967919332.0
Question 27,Estimated task time (ns),16575269351.0
Question 28,Estimated task time (ns),36585002012.0
Question 29,Estimated task time (ns),19327178337.0
Question 30,Estimated task time (ns),4767518729.0
Question 31,Estimated task time (ns),33728575336.0
Question 32,Estimated task time (ns),9162668024.0
Question 33,Estimated task time (ns),28086413852.0
Question 34,Estimated task time (ns),20086039047.0
Question 35,Estimated task time (ns),47087707761.0
Question 36,Estimated task time (ns),47479442021.0
Question 37,Estimated task time (ns),34737654377.0
Question 38,Estimated task time (ns),2711763360.0
Question 39,Estimated task time (ns),42278725868.0
Question 40,Estimated task time (ns),30095759600.0
Question 41,Estimated task time (ns),22911546606.0
Question 42,Estimated task time (ns),25160806509.0
Question 43,Estimated task time (ns),19607452335.0
Question 44,Estimated task time (ns),68831584725.0
Question 45,Estimated task time (ns),58375933133.0
Question 46,Estimated task time (ns),7376107029.0
Question 47,Estimated task time (ns),36391829432.0
Question 48,Estimated task time (ns),68152521433.0
Question 49,Estimated task time (ns),25823311639.0
Question 50,Estimated task time (ns),66081590051.0
Number Questions Asked,50,
Number Questions Correctly Answered,42,
Aerage Response Time Per Question (ns),31335457024,
Question 1,Estimated task time (ns),5055488200.0
Question 2,Estimated task time (ns),10346396000.0
Question 3,Estimated task time (ns),9101637700.0
Question 4,Estimated task time (ns),8653186900.0
Question 5,Estimated task time (ns),7855464900.0
Question 6,Estimated task time (ns),7082233600.0
Question 7,Estimated task time (ns),8621817500.0
Question 8,Estimated task time (ns),8871788900.0
Question 9,Estimated task time (ns),7566683000.0
Question 10,Estimated task time (ns),7163394900.0
Question 11,Estimated task time (ns),7190118300.0
Question 12,Estimated task time (ns),11167230200.0
Question 13,Estimated task time (ns),7227517600.0
Question 14,Estimated task time (ns),5680884500.0
Question 15,Estimated task time (ns),6161356300.0
Question 16,Estimated task time (ns),6904042200.0
Question 17,Estimated task time (ns),14067295300.0
Question 18,Estimated task time (ns),7569376300.0
Question 19,Estimated task time (ns),6146552100.0
Question 20,Estimated task time (ns),7326985500.0
Question 21,Estimated task time (ns),6261383300.0
Question 22,Estimated task time (ns),6499604800.0
Question 23,Estimated task time (ns),6347811300.0
Question 24,Estimated task time (ns),6017899700.0
Question 25,Estimated task time (ns),6686730800.0
Question 26,Estimated task time (ns),7932793700.0
Question 27,Estimated task time (ns),8566508900.0
Question 28,Estimated task time (ns),6662368400.0
Question 29,Estimated task time (ns),7507131600.0
Question 30,Estimated task time (ns),6374761100.0
Question 31,Estimated task time (ns),7406086400.0
Question 32,Estimated task time (ns),6272324000.0
Question 33,Estimated task time (ns),6264713600.0
Question 34,Estimated task time (ns),9050470100.0
Question 35,Estimated task time (ns),8551186200.0
Question 36,Estimated task time (ns),6201914700.0
Question 37,Estimated task time (ns),6758696200.0
Question 38,Estimated task time (ns),5862533100.0
Question 39,Estimated task time (ns),8163803900.0
Question 40,Estimated task time (ns),5746581700.0
Question 41,Estimated task time (ns),6497933800.0
Question 42,Estimated task time (ns),6590032600.0
Question 43,Estimated task time (ns),5576484400.0
Question 44,Estimated task time (ns),8163644000.0
Question 45,Estimated task time (ns),8205744900.0
Question 46,Estimated task time (ns),6976451700.0
Question 47,Estimated task time (ns),7051868000.0
Question 48,Estimated task time (ns),6654103700.0
Question 49,Estimated task time (ns),8021600200.0
Question 50,Estimated task time (ns),7367942300.0
Number Questions Asked,50,
Number Questions Correctly Answered,45,
Aerage Response Time Per Question (ns),7400011180,
Question 1,Estimated task time (ns),65258509600.0
Question 2,Estimated task time (ns),59058753400.0
Question 3,Estimated task time (ns),37441662400.0
Question 4,Estimated task time (ns),30062236900.0
Question 5,Estimated task time (ns),52419039200.0
Question 6,Estimated task time (ns),32340124600.0
Question 7,Estimated task time (ns),66003255300.0
Question 8,Estimated task time (ns),44735161700.0
Question 9,Estimated task time (ns),73370877500.0
Question 10,Estimated task time (ns),44650061400.0
Question 11,Estimated task time (ns),80422614100.0
Question 12,Estimated task time (ns),25960260000.0
Question 13,Estimated task time (ns),27265417200.0
Question 14,Estimated task time (ns),38620614300.0
Question 15,Estimated task time (ns),56621902400.0
Question 16,Estimated task time (ns),24063954100.0
Question 17,Estimated task time (ns),50437562200.0
Question 18,Estimated task time (ns),15731008200.0
Question 19,Estimated task time (ns),31508970900.0
Question 20,Estimated task time (ns),32040577600.0
Question 21,Estimated task time (ns),28869168300.0
Question 22,Estimated task time (ns),33555448900.0
Question 23,Estimated task time (ns),90068985400.0
Question 24,Estimated task time (ns),96952541200.0
Question 25,Estimated task time (ns),59097647300.0
Question 26,Estimated task time (ns),44563156200.0
Question 27,Estimated task time (ns),69119103300.0
Question 28,Estimated task time (ns),45206313200.0
Question 29,Estimated task time (ns),23610961000.0
Question 30,Estimated task time (ns),72860552600.0
Question 31,Estimated task time (ns),55993784700.0
Question 32,Estimated task time (ns),69327654600.0
Question 33,Estimated task time (ns),75805500800.0
Question 34,Estimated task time (ns),73125146400.0
Question 35,Estimated task time (ns),69708125200.0
Question 36,Estimated task time (ns),37570322300.0
Question 37,Estimated task time (ns),125632592800.0
Question 38,Estimated task time (ns),52134433900.0
Question 39,Estimated task time (ns),51553302800.0
Question 40,Estimated task time (ns),47789760100.0
Question 41,Estimated task time (ns),79860923000.0
Question 42,Estimated task time (ns),55437187400.0
Question 43,Estimated task time (ns),16432852300.0
Question 44,Estimated task time (ns),67694033400.0
Question 45,Estimated task time (ns),47943754000.0
Question 46,Estimated task time (ns),36677751700.0
Question 47,Estimated task time (ns),39144296500.0
Question 48,Estimated task time (ns),3483532000.0
Question 49,Estimated task time (ns),43930543700.0
Question 50,Estimated task time (ns),57542061900.0
Number Questions Asked,50,
Number Questions Correctly Answered,43,
Aerage Response Time Per Question (ns),51174079998,
Question 1,Estimated task time (ns),108529590231.0
Question 2,Estimated task time (ns),82211526255.0
Question 3,Estimated task time (ns),34405682614.0
Question 4,Estimated task time (ns),133347585271.0
Question 5,Estimated task time (ns),62932666229.0
Question 6,Estimated task time (ns),4542458621.0
Question 7,Estimated task time (ns),105392817755.0
Question 8,Estimated task time (ns),35236110371.0
Question 9,Estimated task time (ns),78150870311.0
Question 10,Estimated task time (ns),87827103364.0
Question 11,Estimated task time (ns),53241531633.0
Question 12,Estimated task time (ns),100983199493.0
Question 13,Estimated task time (ns),98891139421.0
Question 14,Estimated task time (ns),24241764629.0
Question 15,Estimated task time (ns),27635295151.0
Question 16,Estimated task time (ns),60187925714.0
Question 17,Estimated task time (ns),45377009666.0
Question 18,Estimated task time (ns),60595113698.0
Question 19,Estimated task time (ns),54610458935.0
Question 20,Estimated task time (ns),56306388089.0
Question 21,Estimated task time (ns),43966479154.0
Question 22,Estimated task time (ns),27663739549.0
Question 23,Estimated task time (ns),48710946765.0
Question 24,Estimated task time (ns),56935073361.0
Question 25,Estimated task time (ns),27066268086.0
Question 26,Estimated task time (ns),59171415567.0
Question 27,Estimated task time (ns),62046508007.0
Question 28,Estimated task time (ns),25102317632.0
Question 29,Estimated task time (ns),81628462528.0
Question 30,Estimated task time (ns),50858478392.0
Question 31,Estimated task time (ns),64163829305.0
Question 32,Estimated task time (ns),39382023483.0
Question 33,Estimated task time (ns),34957190422.0
Question 34,Estimated task time (ns),65280255343.0
Question 35,Estimated task time (ns),28949442453.0
Question 36,Estimated task time (ns),2898765167.0
Question 37,Estimated task time (ns),10990829586.0
Question 38,Estimated task time (ns),21934556218.0
Question 39,Estimated task time (ns),54465562995.0
Question 40,Estimated task time (ns),21397049382.0
Question 41,Estimated task time (ns),56898899724.0
Question 42,Estimated task time (ns),78341570380.0
Question 43,Estimated task time (ns),14644644689.0
Question 44,Estimated task time (ns),49100185058.0
Question 45,Estimated task time (ns),21377821591.0
Question 46,Estimated task time (ns),15494484681.0
Question 47,Estimated task time (ns),33940531543.0
Question 48,Estimated task time (ns),43102853182.0
Question 49,Estimated task time (ns),31064480210.0
Question 50,Estimated task time (ns),73426414169.0
Number Questions Asked,50,
Number Questions Correctly Answered,42,
Aerage Response Time Per Question (ns),51192146321,
Question 1,Estimated task time (ns),33213519400.0
Question 2,Estimated task time (ns),31460527000.0
Question 3,Estimated task time (ns),96919088600.0
Question 4,Estimated task time (ns),80868603400.0
Question 5,Estimated task time (ns),73718088900.0
Question 6,Estimated task time (ns),121992645400.0
Question 7,Estimated task time (ns),104088714700.0
Question 8,Estimated task time (ns),22658759600.0
